ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,368.86,512,31.40,52184460
10240,8192,329.84,512,30.34,164939148
18432,8192,312.94,512,29.67,277693836
26624,8192,295.56,512,29.18,390448524
34816,8192,269.98,512,28.46,503203212
43008,8192,249.25,512,26.18,615957900
51200,8192,234.39,512,25.45,728712588
59392,8192,224.34,512,24.52,841467276
67584,8192,213.35,512,23.98,954221964
75776,8192,203.17,512,23.45,1066976652
83968,8192,196.53,512,23.48,1179731340
92160,8192,192.09,512,22.97,1292486028
100352,8192,186.97,512,22.99,1405240716
108544,8192,182.95,512,22.93,1517995404
116736,8192,177.80,512,22.86,1630750092
124928,8192,173.40,512,22.53,1743504780
133120,8192,168.53,512,22.21,1856259468
141312,8192,164.11,512,21.86,1969014156
149504,8192,159.92,512,21.46,2081768844
157696,8192,155.82,512,21.18,2194523532
165888,8192,151.14,512,20.75,2307278220
174080,8192,147.21,512,20.50,2420032908
182272,8192,142.75,512,20.37,2532787596
190464,8192,139.28,512,19.93,2645542284
198656,8192,135.10,512,19.59,2758296972
206848,8192,131.89,512,19.12,2871051660
215040,8192,129.12,512,18.91,2983806348
223232,8192,126.36,512,18.64,3096561036
231424,8192,123.55,512,18.62,3209315724
239616,8192,120.93,512,18.60,3322070412
247808,8192,118.79,512,18.00,3434825100
256000,8192,116.45,512,17.83,3547579788
262144,6144,114.74,512,17.53,3632145804
